100 20 12 17 861 14 0 0 106 884 34 110 914 0 |127 442 401 54 0 0 0 0 540 484 0 390 634 0 |19 593 360 52 0 0 0 0 659 365 0 0 359 665 |72 30 9 7 242 660 3 1 898 126 0 95 929 0 |1325 2026 2755 23 0 11 1 3 1491 4653 0 1157 4376 611 |2504 886 1007 683 570 470 15 9 2050 3330 764 1980 3853 311 |662 810 1106 959 1447 1160 0 0 4106 1972 66 2083 4056 5 |235 818 2279 526 536 1748 1 1 3404 2638 102 503 5116 525 |4746 5645 722 152 97 825 40 61 4152 7977 159 2199 9650 439 |4002 4815 1465 267 398 1318 9 14 3276 7342 1670 2596 9394 298 |3636 4231 1521 382 180 2314 15 9 4019 8053 216 1420 10289 579 |2210 5117 1980 209 450 2296 21 5 6383 5683 222 1045 11186 57 |
65 11 44 247 5 612 31 9 1024 0 0 1 844 179 |36 37 34 168 0 729 19 1 686 338 0 850 174 0 |19 574 265 166 0 0 0 0 685 339 0 1 945 78 |459 305 128 38 25 63 6 0 484 538 2 481 515 28 |2713 574 194 80 0 2162 238 183 5195 949 0 816 5029 299 |1857 3110 37 32 1 1061 38 8 3158 2986 0 825 5145 174 |4074 633 621 54 67 615 42 38 1513 4524 107 1154 4528 462 |1434 3074 544 740 110 188 32 22 2590 3552 2 1680 4282 182 |7959 1596 97 67 4 2193 224 148 5873 6390 25 4122 7174 992 |9327 1017 60 2 0 1331 341 210 3467 8798 23 4105 7288 895 |7946 2672 976 236 121 234 35 68 5780 6496 12 1836 8633 1819 |9242 2205 310 144 272 67 20 28 4364 7883 41 2020 9033 1235 |
704 107 58 29 6 73 34 13 489 526 9 887 124 13 |0 1024 0 0 0 0 0 0 734 290 0 0 310 714 |124 39 96 547 21 192 5 0 1024 0 0 0 43 981 |679 335 6 0 0 0 1 3 183 819 22 559 407 58 |2860 1752 934 329 36 185 40 8 3579 2543 22 1507 3342 1295 |3166 1314 1283 277 8 60 25 11 2699 3333 112 3855 1960 329 |405 2304 3407 28 0 0 0 0 2571 3323 250 1163 2691 2290 |3333 1082 727 780 155 28 18 21 3381 2698 65 1790 3743 611 |9541 1807 511 251 0 86 46 46 7502 4711 75 5767 5990 531 |7846 1740 2306 20 20 117 75 164 5341 6711 236 3268 7620 1400 |8879 2428 949 4 0 0 7 21 8413 3811 64 1623 10014 651 |8850 2181 1036 27 3 89 47 55 5186 6671 431 4513 6585 1190 |
675 103 82 134 0 0 4 26 587 437 0 1024 0 0 |33 61 930 0 0 0 0 0 1024 0 0 1 111 912 |344 323 354 3 0 0 0 0 270 751 3 117 870 37 |631 277 116 0 0 0 0 0 818 206 0 1 900 123 |2210 863 2033 560 0 61 283 134 5849 295 0 2748 2371 1025 |1292 1300 3112 365 0 71 0 4 3738 2303 103 1144 2290 2710 |2026 3212 880 26 0 0 0 0 5847 297 0 40 5420 684 |2168 1680 1132 0 0 823 306 35 4366 1777 1 39 5266 839 |10366 979 878 28 0 2 10 25 9863 2425 0 3541 7560 1187 |7284 1737 2938 178 17 105 10 19 11524 764 0 3124 7649 1515 |8482 2589 1089 97 0 2 10 19 11962 326 0 705 10590 993 |7221 2910 2028 60 3 7 18 41 9907 2358 23 1225 9648 1415 |
63 5 179 707 50 20 0 0 642 306 76 811 197 16 |29 5 125 833 17 15 0 0 988 36 0 0 187 837 |19 0 34 971 0 0 0 0 432 521 71 561 447 16 |0 0 1024 0 0 0 0 0 1024 0 0 0 0 1024 |24 0 117 6003 0 0 0 0 3348 2667 129 1971 3954 219 |484 300 1858 3335 148 11 2 6 3879 2089 176 3547 1508 1089 |213 35 4707 1189 0 0 0 0 6143 1 0 0 505 5639 |108 26 1246 4719 20 25 0 0 2692 3022 430 3457 2197 490 |1663 916 3279 5480 925 4 0 21 7253 4901 134 4376 5041 2871 |4304 1433 3181 2332 535 134 88 281 9779 2478 31 5637 5065 1586 |1414 309 2187 7969 384 4 0 21 5335 6631 322 4782 6030 1476 |2367 1093 4501 3853 445 6 0 23 7730 4441 117 4684 5130 2474 |
96 289 320 159 77 83 0 0 1024 0 0 0 287 737 |785 239 0 0 0 0 0 0 147 877 0 3 1021 0 |45 9 88 870 12 0 0 0 613 385 26 936 88 0 |862 77 1 1 0 72 3 8 374 591 59 330 694 0 |635 619 2511 1504 136 722 17 0 5773 353 18 1325 2189 2630 |4092 735 884 301 13 103 3 13 3188 2799 157 1663 3951 530 |5960 182 0 0 0 1 0 1 1522 4463 159 1223 4916 5 |4587 759 190 140 0 358 71 39 1740 4046 358 2333 3582 229 |8411 1322 2164 136 11 130 35 79 7964 4275 49 1031 8998 2259 |10396 1632 111 23 0 15 34 77 4158 7927 203 1791 8823 1674 |8742 1142 1373 454 4 398 61 114 6642 5557 89 2174 9059 1055 |10715 1010 368 67 0 15 35 78 3948 8104 236 2338 9292 658 |
776 70 51 57 0 6 24 40 753 269 2 779 224 21 |831 0 0 157 0 32 1 3 379 582 63 830 193 1 |328 7 4 0 0 617 31 37 107 601 316 598 426 0 |932 86 6 0 0 0 0 0 237 728 59 545 463 16 |3296 911 316 78 307 406 405 425 2148 3836 160 2482 3555 107 |5222 141 17 202 0 332 133 97 4293 1816 35 2471 3604 69 |5901 229 14 0 0 0 0 0 728 5032 384 1966 4005 173 |4149 858 677 195 0 85 66 114 1405 4030 709 3367 2667 110 |9894 896 536 19 2 486 159 296 5670 6565 53 3567 7317 1404 |10113 380 79 3 2 1453 139 119 6629 5561 98 3591 7465 1232 |9775 1193 423 17 2 453 208 217 4913 7060 315 4698 5944 1646 |8447 1472 1152 798 2 241 64 112 4560 7235 493 4500 6573 1215 |
142 7 116 275 86 393 5 0 1021 3 0 25 477 522 |768 8 10 146 0 58 15 19 410 596 18 893 131 0 |209 0 575 240 0 0 0 0 1024 0 0 0 0 1024 |441 33 141 409 0 0 0 0 664 359 1 958 66 0 |231 0 1423 3400 271 801 18 0 5334 810 0 911 3594 1639 |2868 78 608 1213 117 990 139 131 3562 2581 1 2366 2963 815 |4528 361 793 219 8 99 68 68 1590 3848 706 3289 2706 149 |2889 84 554 1956 3 527 55 76 5039 1105 0 2313 1384 2447 |6619 1014 1075 2217 259 942 93 69 5794 5675 819 2988 8470 830 |8748 1476 1388 356 3 112 119 86 2496 8757 1035 4202 8023 63 |5221 835 2138 3011 141 727 138 77 7054 4610 624 2157 8550 1581 |8803 1315 1491 372 0 74 103 130 3526 7859 903 4160 7924 204 |
179 6 325 260 5 246 3 0 1024 0 0 0 582 442 |444 506 74 0 0 0 0 0 915 108 1 131 893 0 |244 176 147 298 58 101 0 0 763 258 3 23 722 279 |2 12 410 600 0 0 0 0 418 590 16 291 733 0 |2469 340 499 1289 92 1106 165 184 5701 443 0 15 2365 3764 |2129 1889 814 1281 3 23 2 3 5042 1098 4 791 5345 8 |1887 1320 2525 412 0 0 0 0 4286 1818 40 1169 4957 18 |2314 620 1454 1687 1 50 11 7 3229 2649 266 2799 3345 0 |9111 661 948 1472 52 23 10 11 4857 7073 358 4077 7955 256 |8655 1431 1332 821 16 23 7 3 4311 7649 328 4747 7521 20 |8140 1042 1331 1545 49 135 23 23 3963 7688 637 4878 7174 236 |8018 779 1624 1747 16 47 28 29 4418 7245 625 5564 6672 52 |
754 50 1 56 18 145 0 0 575 449 0 927 97 0 |165 139 16 29 324 343 3 5 774 250 0 197 290 537 |11 0 3 1009 1 0 0 0 964 60 0 106 918 0 |347 223 42 32 254 115 6 5 607 414 3 566 442 16 |701 242 631 4415 79 74 1 1 5672 472 0 1092 4719 333 |1554 716 1298 597 948 1020 10 1 4394 1746 4 1701 2722 1721 |1188 800 985 870 952 1319 21 9 5066 1066 12 3441 2687 16 |983 425 947 2314 1210 265 0 0 3629 2483 32 1373 4771 0 |5351 773 2095 2607 571 873 11 7 8674 3582 32 2213 9122 953 |4874 2705 1856 1139 691 1015 7 1 7757 4517 14 2958 7582 1748 |5956 598 1335 2918 616 829 31 5 7543 3859 886 3303 7902 1083 |4689 1442 3114 1272 727 1020 13 11 7991 4275 22 4241 6326 1721 |
